SampleID	Condition	Time	Replicate	FQ1_Path	FQ2_Path
WT_00h_1	WT	00h	1	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_0h.1_1.fq.gz	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_0h.1_2.fq.gz
WT_00h_2	WT	00h	2	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_0h.2_1.fq.gz	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_0h.2_2.fq.gz
WT_00h_3	WT	00h	3	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_0h.3_1.fq.gz	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_0h.3_2.fq.gz
WT_03h_1	WT	03h	1	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_3h.1_1.fq.gz	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_3h.1_2.fq.gz
WT_03h_2	WT	03h	2	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_3h.2_1.fq.gz	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_3h.2_2.fq.gz
WT_03h_3	WT	03h	3	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_3h.3_1.fq.gz	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_3h.3_2.fq.gz
WT_06h_1	WT	06h	1	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_6h.1_1.fq.gz	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_6h.1_2.fq.gz
WT_06h_2	WT	06h	2	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_6h.2_1.fq.gz	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_6h.2_2.fq.gz
WT_06h_3	WT	06h	3	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_6h.3_1.fq.gz	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_6h.3_2.fq.gz
WT_12h_1	WT	12h	1	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_12h.1_1.fq.gz	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_12h.1_2.fq.gz
WT_12h_2	WT	12h	2	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_12h.2_1.fq.gz	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_12h.2_2.fq.gz
WT_12h_3	WT	12h	3	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_12h.3_1.fq.gz	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_12h.3_2.fq.gz
WT_24h_1	WT	24h	1	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_24h.1_1.fq.gz	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_24h.1_2.fq.gz
WT_24h_2	WT	24h	2	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_24h.2_1.fq.gz	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_24h.2_2.fq.gz
WT_24h_3	WT	24h	3	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_24h.3_1.fq.gz	/home/cfy/Data/CrDof_project/00_fastq_rename/CrWT_LP_24h.3_2.fq.gz
dof_00h_1	dof	00h	1	/home/cfy/Data/CrDof_project/00_fastq_rename/Crdof_LP_0h.1_1.fq.gz	/home/cfy/Data/CrDof_project/00_fastq_rename/Crdof_LP_0h.1_2.fq.gz
dof_00h_2	dof	00h	2	/home/cfy/Data/CrDof_project/00_fastq_rename/Crdof_LP_0h.2_1.fq.gz	/home/cfy/Data/CrDof_project/00_fastq_rename/Crdof_LP_0h.2_2.fq.gz
dof_00h_3	dof	00h	3	/home/cfy/Data/CrDof_project/00_fastq_rename/Crdof_LP_0h.3_1.fq.gz	/home/cfy/Data/CrDof_project/00_fastq_rename/Crdof_LP_0h.3_2.fq.gz
dof_03h_1	dof	03h	1	/home/cfy/Data/CrDof_project/00_fastq_rename/Crdof_LP_3h.1_1.fq.gz	/home/cfy/Data/CrDof_project/00_fastq_rename/Crdof_LP_3h.1_2.fq.gz
dof_03h_2	dof	03h	2	/home/cfy/Data/CrDof_project/00_fastq_rename/Crdof_LP_3h.2_1.fq.gz	/home/cfy/Data/CrDof_project/00_fastq_rename/Crdof_LP_3h.2_2.fq.gz
dof_03h_3	dof	03h	3	/home/cfy/Data/CrDof_project/00_fastq_rename/Crdof_LP_3h.3_1.fq.gz	/home/cfy/Data/CrDof_project/00_fastq_rename/Crdof_LP_3h.3_2.fq.gz
dof_06h_1	dof	06h	1	/home/cfy/Data/CrDof_project/00_fastq_rename/Crdof_LP_6h.1_1.fq.gz	/home/cfy/Data/CrDof_project/00_fastq_rename/Crdof_LP_6h.1_2.fq.gz
